sentence,keywords,code,theme,label
creating a responsive layout,"backend, api, css, node",fetch('/api/data'),Machine Learning,0
training a model,"accuracy, dataset, index",CREATE TABLE users(id INT);,Machine Learning,0
handling data storage,"rows, sql, query",SELECT * FROM users;,Databases,1
fixing frontend bugs,"api, javascript, columns",CREATE TABLE users(id INT);,Web Development,0
testing a neural network,"prediction, ai, model",predict(X_test),Web Development,0
,"css, frontend",<div>Hello</div>,Databases,0
working on something,"programming, code",int a = 5;,Web Development,0
optimizing database,"table, rows, sql",INSERT INTO users VALUES ('John');,Databases,1
uh fixing stuff,"table, index, prediction",predict(X_test),Databases,0
working on predictions,"model, neural network, ai, training",from tensorflow import keras,Web Development,0
fetching records,"index, sql, query",CREATE TABLE users(id INT);,Machine Learning,0
optimizing database,,SELECT * FROM users;,Databases,1
handling data storage,"database, sql, css",document.getElementById('app'),Databases,0
working on something,"dataset, prediction, query",UPDATE users SET name='Alex';,Machine Learning,0
analyzing data,"prediction, neural network, model",predict(X_test),Machine Learning,1
working on a web app,"node, css, javascript, react",function App() { return <h1>Hi</h1>; },Web Development,1
fixing frontend bugs,,fetch('/api/data'),Web Development,1
working on something,"computer, code",print('hello'),Databases,0
,"api, css, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
managing tables,,loss.backward(),Databases,0
writing SQL queries,"query, table, database",,Databases,1
idk doing coding,"programming, code",print('hello'),Machine Learning,0
building a website,"api, backend, sql",UPDATE users SET name='Alex';,Web Development,0
managing tables,,predict(X_test),Databases,0
fetching records,"rows, database",UPDATE users SET name='Alex';,Databases,1
,"neural network, ai, rows",INSERT INTO users VALUES ('John');,Machine Learning,0
debugging rn,"computer, code",print('hello'),Web Development,0
working on a web app,"frontend, javascript, backend",fetch('/api/data'),Web Development,1
improving accuracy,"prediction, training, ai","model.fit(X, y)",Machine Learning,1
uh fixing stuff,"api, backend, rows",SELECT * FROM users;,Web Development,0
analyzing data,"ai, dataset, prediction, model",loss.backward(),Web Development,0
coding lang eh,,import sklearn,Machine Learning,1
idk doing coding,"code, programming",echo 'hi';,Web Development,0
,"backend, css",console.log('hello'),Web Development,1
working on predictions,"model, neural network, training, accuracy",predict(X_test),Machine Learning,1
improving accuracy,,INSERT INTO users VALUES ('John');,Machine Learning,0
improving accuracy,"neural network, training, node",fetch('/api/data'),Machine Learning,0
uh fixing stuff,"frontend, backend, index",DELETE FROM users WHERE id=1;,Web Development,0
working on a web app,"javascript, frontend, css",document.getElementById('app'),Web Development,1
coding lang eh,"computer, programming",int a = 5;,Databases,0
fixing frontend bugs,"javascript, frontend, query",CREATE TABLE users(id INT);,Web Development,0
improving accuracy,,"model.fit(X, y)",Web Development,0
optimizing database,"sql, index, columns",SELECT * FROM users;,Machine Learning,0
training a model,"model, training, frontend",function App() { return <h1>Hi</h1>; },Machine Learning,0
managing tables,"index, columns, model",predict(X_test),Databases,0
making something idk,"rows, index",CREATE TABLE users(id INT);,Web Development,0
fixing frontend bugs,"html, frontend",document.getElementById('app'),Web Development,1
making a login system,"node, react, css, backend",function App() { return <h1>Hi</h1>; },Web Development,1
fetching records,"index, columns, table, rows",DELETE FROM users WHERE id=1;,Databases,1
working on something,"programming, code",echo 'hi';,Machine Learning,0
improving accuracy,"neural network, training, ai, model",,Machine Learning,1
making something idk,"backend, javascript, frontend, node",document.getElementById('app'),Web Development,1
creating a responsive layout,"html, frontend, dataset",from tensorflow import keras,Web Development,0
improving accuracy,"neural network, prediction, javascript",console.log('hello'),Machine Learning,0
writing SQL queries,"index, rows",,Databases,1
fixing frontend bugs,"api, react, index",CREATE TABLE users(id INT);,Web Development,0
fixing frontend bugs,"react, html",<div>Hello</div>,Web Development,1
working on predictions,"accuracy, model, neural network, ai",predict(X_test),Machine Learning,1
,"react, css, api, backend",fetch('/api/data'),Web Development,1
improving accuracy,"neural network, dataset, prediction",predict(X_test),Machine Learning,1
working on a web app,"react, backend, database",CREATE TABLE users(id INT);,Web Development,0
training a model,"ai, accuracy, training",from tensorflow import keras,Web Development,0
working on something,"computer, code",print('hello'),Databases,0
making something idk,"css, react, columns",SELECT * FROM users;,Web Development,0
managing tables,"sql, database, html",<div>Hello</div>,Databases,0
,"api, css",,Web Development,1
training a model,"ai, training, css",function App() { return <h1>Hi</h1>; },Machine Learning,0
,"neural network, accuracy, training, ai","model.fit(X, y)",Machine Learning,1
,"javascript, node, backend",,Web Development,1
handling data storage,"columns, query, model","model.fit(X, y)",Databases,0
,,CREATE TABLE users(id INT);,Machine Learning,0
optimizing database,"table, rows, node",document.getElementById('app'),Databases,0
coding lang eh,"html, frontend, javascript, react",console.log('hello'),Web Development,1
testing a neural network,,"model.fit(X, y)",Databases,0
working on a web app,"html, javascript, react, api",<div>Hello</div>,Web Development,1
writing SQL queries,"query, database, index",INSERT INTO users VALUES ('John');,Databases,1
debugging rn,"rows, index, database, table",UPDATE users SET name='Alex';,Databases,1
trying to fix bugs,"ai, neural network, prediction, model",predict(X_test),Machine Learning,1
analyzing data,"neural network, accuracy, table",DELETE FROM users WHERE id=1;,Machine Learning,0
working on predictions,"model, ai, training","model.fit(X, y)",Machine Learning,1
fetching records,"database, query, rows",DELETE FROM users WHERE id=1;,Databases,1
analyzing data,"neural network, prediction, database",SELECT * FROM users;,Machine Learning,0
working on a web app,"react, css, node",<div>Hello</div>,Web Development,1
creating a responsive layout,"backend, css, react",document.getElementById('app'),Web Development,1
working on a web app,"node, css, sql",INSERT INTO users VALUES ('John');,Web Development,0
making something idk,"sql, index, query, table",DELETE FROM users WHERE id=1;,Databases,1
managing tables,"database, sql, rows",UPDATE users SET name='Alex';,Databases,1
trying to fix bugs,"computer, typing",console.log('test'),Web Development,0
,"accuracy, prediction, dataset","model.fit(X, y)",Machine Learning,1
,"api, frontend",<div>Hello</div>,Machine Learning,0
training a model,,predict(X_test),Machine Learning,1
fixing frontend bugs,"backend, css, index",UPDATE users SET name='Alex';,Web Development,0
optimizing database,"database, table",DELETE FROM users WHERE id=1;,Databases,1
building a website,"node, javascript, table",CREATE TABLE users(id INT);,Web Development,0
idk doing coding,"html, css, backend, react",document.getElementById('app'),Web Development,1
,"html, api, css, javascript",<div>Hello</div>,Web Development,1
coding lang eh,"rows, database, index",INSERT INTO users VALUES ('John');,Web Development,0
fixing frontend bugs,"frontend, css, javascript",fetch('/api/data'),Web Development,1
building a website,"frontend, node",fetch('/api/data'),Web Development,1
handling data storage,"columns, query, sql",UPDATE users SET name='Alex';,Databases,1
writing SQL queries,"sql, columns, database, rows",CREATE TABLE users(id INT);,Databases,1
making something idk,"code, typing",print('hello'),Web Development,0
handling data storage,"query, database, training",predict(X_test),Databases,0
working on a web app,"api, frontend, css",document.getElementById('app'),Machine Learning,0
creating a responsive layout,"backend, node, javascript, css",console.log('hello'),Web Development,1
fixing frontend bugs,"react, javascript, frontend, api",fetch('/api/data'),Web Development,1
handling data storage,"database, table",CREATE TABLE users(id INT);,Web Development,0
handling data storage,"sql, columns, dataset",predict(X_test),Databases,0
optimizing database,"query, sql, rows",CREATE TABLE users(id INT);,Machine Learning,0
analyzing data,"dataset, neural network, prediction, accuracy",,Machine Learning,1
training a model,"prediction, accuracy, dataset, neural network",loss.backward(),Databases,0
debugging rn,"prediction, model, query",SELECT * FROM users;,Machine Learning,0
fixing frontend bugs,"frontend, html, database",INSERT INTO users VALUES ('John');,Web Development,0
uh fixing stuff,"neural network, dataset",predict(X_test),Machine Learning,1
idk doing coding,"programming, code",print('hello'),Databases,0
working on predictions,"dataset, training, accuracy, neural network",loss.backward(),Machine Learning,1
fixing frontend bugs,"api, css, react, node",document.getElementById('app'),Web Development,1
analyzing data,"model, dataset, ai",from tensorflow import keras,Web Development,0
optimizing database,"index, columns",INSERT INTO users VALUES ('John');,Web Development,0
working on a web app,"css, javascript, api, react",function App() { return <h1>Hi</h1>; },Databases,0
,"query, rows, node",<div>Hello</div>,Databases,0
making something idk,"rows, query",CREATE TABLE users(id INT);,Web Development,0
testing a neural network,"model, training, ai",import sklearn,Web Development,0
uh fixing stuff,"database, rows, dataset",import sklearn,Databases,0
building a website,"html, api, backend",fetch('/api/data'),Web Development,1
creating a responsive layout,"html, api, rows",INSERT INTO users VALUES ('John');,Web Development,0
optimizing database,,fetch('/api/data'),Databases,0
handling data storage,"database, table, ai",predict(X_test),Databases,0
working on something,"programming, typing",console.log('test'),Web Development,0
making a login system,"backend, api, index",,Web Development,0
making something idk,"typing, code",print('hello'),Machine Learning,0
managing tables,"rows, sql, index, query",DELETE FROM users WHERE id=1;,Databases,1
uh fixing stuff,"typing, code",print('hello'),Databases,0
creating a responsive layout,"node, css",document.getElementById('app'),Web Development,1
making something idk,"table, rows, database",,Machine Learning,0
making a login system,,document.getElementById('app'),Web Development,1
improving accuracy,"neural network, dataset, api",fetch('/api/data'),Machine Learning,0
optimizing database,"columns, sql, table",UPDATE users SET name='Alex';,Databases,1
working on predictions,"prediction, ai, dataset, accuracy","model.fit(X, y)",Machine Learning,1
making something idk,"computer, code",console.log('test'),Machine Learning,0
making something idk,,<div>Hello</div>,Web Development,1
working on a web app,"backend, html, react",function App() { return <h1>Hi</h1>; },Web Development,1
fixing frontend bugs,"node, frontend, css, api",function App() { return <h1>Hi</h1>; },Web Development,1
fetching records,"columns, sql, query, index",SELECT * FROM users;,Web Development,0
uh fixing stuff,"code, computer",int a = 5;,Databases,0
,,DELETE FROM users WHERE id=1;,Web Development,0
managing tables,"rows, sql, table, columns",CREATE TABLE users(id INT);,Databases,1
managing tables,"rows, columns",SELECT * FROM users;,Web Development,0
creating a responsive layout,"api, node",,Web Development,1
fetching records,,,Databases,1
testing a neural network,"training, neural network, dataset",predict(X_test),Web Development,0
training a model,"dataset, prediction, sql",,Machine Learning,0
improving accuracy,"neural network, dataset, prediction, training",from tensorflow import keras,Machine Learning,1
fixing frontend bugs,"html, css, backend",document.getElementById('app'),Web Development,1
making a login system,"javascript, html, css",document.getElementById('app'),Web Development,1
,"table, database, query",UPDATE users SET name='Alex';,Databases,1
training a model,,document.getElementById('app'),Machine Learning,0
working on a web app,"javascript, frontend, react",<div>Hello</div>,Databases,0
improving accuracy,,,Machine Learning,1
optimizing database,"database, index, table, columns",UPDATE users SET name='Alex';,Web Development,0
managing tables,,import sklearn,Databases,0
testing a neural network,"model, accuracy, sql",SELECT * FROM users;,Machine Learning,0
uh fixing stuff,"programming, typing",print('hello'),Web Development,0
uh fixing stuff,"node, api",fetch('/api/data'),Machine Learning,0
testing a neural network,"prediction, model",import sklearn,Machine Learning,1
coding lang eh,"typing, code",print('hello'),Databases,0
managing tables,"index, sql, dataset","model.fit(X, y)",Databases,0
training a model,"accuracy, ai",import sklearn,Databases,0
making a login system,"css, api",document.getElementById('app'),Machine Learning,0
building a website,,import sklearn,Web Development,0
working on a web app,"react, backend, css",function App() { return <h1>Hi</h1>; },Web Development,1
debugging rn,"javascript, api, backend",console.log('hello'),Web Development,1
working on something,"accuracy, model, prediction, training",from tensorflow import keras,Machine Learning,1
uh fixing stuff,"typing, computer",console.log('test'),Machine Learning,0
training a model,,<div>Hello</div>,Machine Learning,0
building a website,"api, css, backend",console.log('hello'),Web Development,1
working on a web app,"css, html, ai",predict(X_test),Web Development,0
idk doing coding,"model, prediction, accuracy",from tensorflow import keras,Machine Learning,1
fetching records,"database, rows, sql, columns",SELECT * FROM users;,Databases,1
optimizing database,"table, query, index, database",DELETE FROM users WHERE id=1;,Web Development,0
handling data storage,"table, index, columns, database",DELETE FROM users WHERE id=1;,Web Development,0
improving accuracy,,function App() { return <h1>Hi</h1>; },Machine Learning,0
making something idk,"typing, computer",console.log('test'),Machine Learning,0
,"api, css, backend",document.getElementById('app'),Web Development,1
working on predictions,"neural network, prediction, accuracy",from tensorflow import keras,Machine Learning,1
working on something,"programming, typing",print('hello'),Machine Learning,0
making a login system,,console.log('hello'),Machine Learning,0
building a website,"html, css, neural network",predict(X_test),Web Development,0
training a model,"neural network, prediction, backend",document.getElementById('app'),Machine Learning,0
making a login system,"backend, frontend, react",console.log('hello'),Web Development,1
testing a neural network,"prediction, ai, accuracy, dataset",loss.backward(),Machine Learning,1
analyzing data,"accuracy, prediction","model.fit(X, y)",Machine Learning,1
testing a neural network,"training, prediction, backend",function App() { return <h1>Hi</h1>; },Machine Learning,0
fixing frontend bugs,"javascript, html",document.getElementById('app'),Databases,0
fetching records,"rows, index",UPDATE users SET name='Alex';,Databases,1
idk doing coding,"sql, query, table",INSERT INTO users VALUES ('John');,Web Development,0
,"accuracy, model",import sklearn,Machine Learning,1
fetching records,"sql, index, rows",SELECT * FROM users;,Databases,1
working on a web app,"node, frontend, react",console.log('hello'),Machine Learning,0
,,CREATE TABLE users(id INT);,Databases,1
creating a responsive layout,"javascript, css",console.log('hello'),Web Development,1
,"html, css, react, backend",document.getElementById('app'),Databases,0
trying to fix bugs,"columns, sql",DELETE FROM users WHERE id=1;,Databases,1
debugging rn,"typing, code",int a = 5;,Machine Learning,0
,"training, neural network, model",loss.backward(),Machine Learning,1
fetching records,"sql, database, query, table",,Databases,1
coding lang eh,,DELETE FROM users WHERE id=1;,Databases,1
handling data storage,"rows, sql, index, table",,Web Development,0
fixing frontend bugs,"javascript, html",function App() { return <h1>Hi</h1>; },Web Development,1
,"sql, query, columns",INSERT INTO users VALUES ('John');,Databases,1
,"dataset, neural network, accuracy, prediction","model.fit(X, y)",Machine Learning,1
creating a responsive layout,"backend, api, dataset",from tensorflow import keras,Web Development,0
fetching records,"columns, query, database",CREATE TABLE users(id INT);,Databases,1
coding lang eh,"programming, typing",print('hello'),Web Development,0
analyzing data,"model, dataset, ai, accuracy",loss.backward(),Machine Learning,1
working on something,"index, database",DELETE FROM users WHERE id=1;,Databases,1
making a login system,"javascript, html",document.getElementById('app'),Web Development,1
handling data storage,,DELETE FROM users WHERE id=1;,Machine Learning,0
building a website,"frontend, css, index",UPDATE users SET name='Alex';,Web Development,0
building a website,"backend, javascript, react",function App() { return <h1>Hi</h1>; },Machine Learning,0
,"columns, query, rows",DELETE FROM users WHERE id=1;,Web Development,0
working on something,"computer, code",console.log('test'),Machine Learning,0
coding lang eh,"sql, columns, react",document.getElementById('app'),Databases,0
improving accuracy,"dataset, training",from tensorflow import keras,Databases,0
working on a web app,,fetch('/api/data'),Web Development,1
making something idk,"computer, programming",console.log('test'),Databases,0
trying to fix bugs,"computer, programming",int a = 5;,Machine Learning,0
testing a neural network,"neural network, ai, columns",SELECT * FROM users;,Machine Learning,0
,"training, neural network, query",CREATE TABLE users(id INT);,Machine Learning,0
uh fixing stuff,"query, table, html",document.getElementById('app'),Databases,0
building a website,"api, css, accuracy",from tensorflow import keras,Web Development,0
managing tables,"sql, table, index, query",,Databases,1
analyzing data,"accuracy, training, dataset","model.fit(X, y)",Machine Learning,1
creating a responsive layout,"frontend, react, dataset","model.fit(X, y)",Web Development,0
debugging rn,"code, typing",echo 'hi';,Machine Learning,0
analyzing data,,CREATE TABLE users(id INT);,Machine Learning,0
optimizing database,"columns, sql, table",CREATE TABLE users(id INT);,Databases,1
training a model,"prediction, accuracy, training",predict(X_test),Machine Learning,1
debugging rn,"sql, columns",SELECT * FROM users;,Web Development,0
handling data storage,"table, database, query",,Machine Learning,0
writing SQL queries,"columns, sql, training",,Databases,0
fixing frontend bugs,"react, api, index",UPDATE users SET name='Alex';,Web Development,0
creating a responsive layout,"api, frontend",<div>Hello</div>,Databases,0
working on predictions,"dataset, training, neural network, model",loss.backward(),Web Development,0
testing a neural network,"accuracy, prediction, neural network",import sklearn,Machine Learning,1
writing SQL queries,"table, database",INSERT INTO users VALUES ('John');,Databases,1
uh fixing stuff,"frontend, html, api",fetch('/api/data'),Web Development,1
making something idk,,predict(X_test),Machine Learning,1
working on a web app,"backend, css, html",,Web Development,1
creating a responsive layout,"react, node, frontend",function App() { return <h1>Hi</h1>; },Databases,0
making something idk,"code, computer",print('hello'),Machine Learning,0
,"frontend, backend, index",DELETE FROM users WHERE id=1;,Web Development,0
writing SQL queries,"index, sql, api",fetch('/api/data'),Databases,0
building a website,"javascript, react, html, node",,Databases,0
,"javascript, node, index",INSERT INTO users VALUES ('John');,Web Development,0
improving accuracy,"ai, training",import sklearn,Machine Learning,1
training a model,"accuracy, prediction, table",DELETE FROM users WHERE id=1;,Machine Learning,0
writing SQL queries,,import sklearn,Databases,0
optimizing database,"query, table, index",SELECT * FROM users;,Machine Learning,0
improving accuracy,"accuracy, model, backend",<div>Hello</div>,Machine Learning,0
handling data storage,"database, query",INSERT INTO users VALUES ('John');,Databases,1
creating a responsive layout,"react, api, frontend, css",function App() { return <h1>Hi</h1>; },Web Development,1
optimizing database,"table, columns, index, query",DELETE FROM users WHERE id=1;,Databases,1
managing tables,"index, columns",CREATE TABLE users(id INT);,Databases,1
uh fixing stuff,"computer, code",print('hello'),Web Development,0
optimizing database,"query, columns, sql, index",CREATE TABLE users(id INT);,Web Development,0
coding lang eh,"css, react, table",DELETE FROM users WHERE id=1;,Web Development,0
improving accuracy,"neural network, dataset, api",console.log('hello'),Machine Learning,0
working on predictions,,,Machine Learning,1
uh fixing stuff,"ai, neural network, model","model.fit(X, y)",Machine Learning,1
writing SQL queries,,CREATE TABLE users(id INT);,Databases,1
,"react, css",,Web Development,1
creating a responsive layout,"html, javascript",console.log('hello'),Machine Learning,0
coding lang eh,"frontend, node, training",,Web Development,0
training a model,"ai, prediction, query",INSERT INTO users VALUES ('John');,Machine Learning,0
trying to fix bugs,"programming, computer",int a = 5;,Databases,0
fetching records,"sql, index, database",CREATE TABLE users(id INT);,Machine Learning,0
working on predictions,"accuracy, prediction, dataset",predict(X_test),Machine Learning,1
writing SQL queries,,CREATE TABLE users(id INT);,Machine Learning,0
uh fixing stuff,"api, css, javascript",,Web Development,1
,"query, database, sql, columns",SELECT * FROM users;,Databases,1
managing tables,"table, sql, columns, rows",SELECT * FROM users;,Databases,1
fetching records,"rows, index, neural network",,Databases,0
,"ai, dataset, javascript",function App() { return <h1>Hi</h1>; },Machine Learning,0
improving accuracy,"dataset, training, html",fetch('/api/data'),Machine Learning,0
writing SQL queries,"table, sql",,Web Development,0
building a website,"node, backend, accuracy","model.fit(X, y)",Web Development,0
writing SQL queries,"columns, query, model",loss.backward(),Databases,0
creating a responsive layout,"html, css",function App() { return <h1>Hi</h1>; },Web Development,1
optimizing database,"table, rows, training",from tensorflow import keras,Databases,0
uh fixing stuff,"javascript, api, css",fetch('/api/data'),Web Development,1
optimizing database,"index, columns, query, table",UPDATE users SET name='Alex';,Web Development,0
idk doing coding,"computer, programming",console.log('test'),Web Development,0
,"react, html, css",fetch('/api/data'),Web Development,1
creating a responsive layout,"frontend, javascript, prediction",loss.backward(),Web Development,0
improving accuracy,"model, training, table",CREATE TABLE users(id INT);,Machine Learning,0
building a website,"javascript, backend, sql",CREATE TABLE users(id INT);,Web Development,0
working on predictions,"neural network, prediction",from tensorflow import keras,Web Development,0
fixing frontend bugs,"frontend, javascript, table",SELECT * FROM users;,Web Development,0
fixing frontend bugs,"backend, html",<div>Hello</div>,Web Development,1
handling data storage,"sql, query, columns",DELETE FROM users WHERE id=1;,Web Development,0
working on something,"api, javascript, frontend",<div>Hello</div>,Machine Learning,0
idk doing coding,"ai, training",predict(X_test),Machine Learning,1
coding lang eh,"rows, database, sql, table",UPDATE users SET name='Alex';,Machine Learning,0
building a website,"javascript, html",console.log('hello'),Web Development,1
testing a neural network,"model, neural network, accuracy, training",loss.backward(),Machine Learning,1
training a model,,from tensorflow import keras,Machine Learning,1
trying to fix bugs,"columns, index, query, rows",SELECT * FROM users;,Machine Learning,0
coding lang eh,"accuracy, dataset, database",,Machine Learning,0
fetching records,"table, index, dataset",import sklearn,Databases,0
training a model,,INSERT INTO users VALUES ('John');,Machine Learning,0
creating a responsive layout,"api, backend",<div>Hello</div>,Machine Learning,0
training a model,"neural network, ai","model.fit(X, y)",Machine Learning,1
making something idk,"neural network, dataset, html",function App() { return <h1>Hi</h1>; },Machine Learning,0
building a website,"frontend, javascript, index",DELETE FROM users WHERE id=1;,Web Development,0
testing a neural network,"ai, accuracy, database",CREATE TABLE users(id INT);,Machine Learning,0
working on a web app,"javascript, react, backend, css",,Web Development,1
building a website,"frontend, api, css",function App() { return <h1>Hi</h1>; },Web Development,1
working on a web app,,INSERT INTO users VALUES ('John');,Web Development,0
analyzing data,,,Machine Learning,0
writing SQL queries,"rows, table, database, sql",UPDATE users SET name='Alex';,Databases,1
trying to fix bugs,"rows, query, neural network",predict(X_test),Databases,0
making something idk,"typing, code",echo 'hi';,Web Development,0
building a website,"api, react",<div>Hello</div>,Web Development,1
handling data storage,"index, sql, backend",document.getElementById('app'),Databases,0
building a website,"frontend, css, index",INSERT INTO users VALUES ('John');,Web Development,0
working on something,"rows, table, sql",DELETE FROM users WHERE id=1;,Databases,1
fixing frontend bugs,"api, backend, html",document.getElementById('app'),Web Development,1
managing tables,"rows, database",UPDATE users SET name='Alex';,Databases,1
fixing frontend bugs,"javascript, node",fetch('/api/data'),Web Development,1
uh fixing stuff,"computer, code",int a = 5;,Databases,0
testing a neural network,"accuracy, neural network, training",from tensorflow import keras,Web Development,0
idk doing coding,"typing, programming",int a = 5;,Machine Learning,0
,"rows, query",UPDATE users SET name='Alex';,Databases,1
coding lang eh,"computer, programming",echo 'hi';,Web Development,0
trying to fix bugs,"javascript, node, react, frontend",function App() { return <h1>Hi</h1>; },Web Development,1
testing a neural network,"prediction, dataset, training",from tensorflow import keras,Machine Learning,1
fixing frontend bugs,,DELETE FROM users WHERE id=1;,Web Development,0
creating a responsive layout,"backend, html, rows",SELECT * FROM users;,Web Development,0
uh fixing stuff,"index, columns, database",UPDATE users SET name='Alex';,Databases,1
fixing frontend bugs,"api, frontend, html, react",function App() { return <h1>Hi</h1>; },Machine Learning,0
improving accuracy,"training, neural network, prediction, ai",from tensorflow import keras,Databases,0
debugging rn,"react, html, sql",SELECT * FROM users;,Web Development,0
analyzing data,"prediction, model, training, ai",import sklearn,Machine Learning,1
working on a web app,"api, javascript",console.log('hello'),Databases,0
working on a web app,"css, api",console.log('hello'),Web Development,1
uh fixing stuff,"table, query, database",CREATE TABLE users(id INT);,Databases,1
making a login system,"node, frontend, dataset","model.fit(X, y)",Web Development,0
coding lang eh,"code, computer",int a = 5;,Web Development,0
making a login system,"backend, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
training a model,"ai, model, html",console.log('hello'),Machine Learning,0
working on predictions,"accuracy, model, frontend",<div>Hello</div>,Machine Learning,0
writing SQL queries,"index, rows, prediction",predict(X_test),Databases,0
improving accuracy,"ai, training, dataset, neural network","model.fit(X, y)",Databases,0
working on something,,loss.backward(),Machine Learning,1
analyzing data,,loss.backward(),Databases,0
working on a web app,"frontend, javascript, react",<div>Hello</div>,Machine Learning,0
testing a neural network,"ai, prediction, dataset, neural network",from tensorflow import keras,Web Development,0
managing tables,"columns, rows, sql, database",UPDATE users SET name='Alex';,Databases,1
fixing frontend bugs,"css, api, node, javascript",document.getElementById('app'),Web Development,1
trying to fix bugs,"training, model, dataset, accuracy",loss.backward(),Machine Learning,1
building a website,"javascript, backend, prediction",from tensorflow import keras,Web Development,0
working on predictions,"training, model, prediction",loss.backward(),Web Development,0
trying to fix bugs,"sql, rows, columns",SELECT * FROM users;,Databases,1
,"frontend, javascript, api",console.log('hello'),Web Development,1
handling data storage,"table, query, columns",CREATE TABLE users(id INT);,Databases,1
idk doing coding,"code, computer",console.log('test'),Web Development,0
training a model,"neural network, model, frontend",fetch('/api/data'),Machine Learning,0
working on predictions,"prediction, training, model",from tensorflow import keras,Machine Learning,1
making something idk,"typing, code",console.log('test'),Databases,0
coding lang eh,"typing, computer",int a = 5;,Web Development,0
writing SQL queries,"index, columns",SELECT * FROM users;,Web Development,0
building a website,"react, api",function App() { return <h1>Hi</h1>; },Web Development,1
creating a responsive layout,"html, css, react, frontend",fetch('/api/data'),Web Development,1
working on a web app,"node, frontend, css, html",,Web Development,1
coding lang eh,"sql, query, table, database",SELECT * FROM users;,Databases,1
making something idk,"computer, programming",echo 'hi';,Machine Learning,0
creating a responsive layout,"html, backend, accuracy",from tensorflow import keras,Web Development,0
making a login system,"node, html, css, javascript",console.log('hello'),Web Development,1
debugging rn,"backend, css",function App() { return <h1>Hi</h1>; },Web Development,1
writing SQL queries,"sql, index",DELETE FROM users WHERE id=1;,Web Development,0
trying to fix bugs,"backend, node, index",SELECT * FROM users;,Web Development,0
working on predictions,"accuracy, prediction","model.fit(X, y)",Machine Learning,1
debugging rn,"html, node, react, backend",<div>Hello</div>,Web Development,1
coding lang eh,"rows, query",SELECT * FROM users;,Databases,1
,"css, html, prediction",loss.backward(),Web Development,0
coding lang eh,"typing, computer",print('hello'),Web Development,0
fixing frontend bugs,"backend, frontend, react, api",<div>Hello</div>,Web Development,1
testing a neural network,"model, prediction, neural network","model.fit(X, y)",Databases,0
idk doing coding,"typing, code",echo 'hi';,Databases,0
working on predictions,"ai, training, backend",console.log('hello'),Machine Learning,0
making something idk,"accuracy, neural network, training",import sklearn,Machine Learning,1
working on predictions,"training, accuracy, dataset",,Machine Learning,1
fetching records,"rows, index, sql",SELECT * FROM users;,Machine Learning,0
building a website,"javascript, css, sql",,Web Development,0
training a model,"prediction, dataset, react",,Machine Learning,0
training a model,"prediction, model","model.fit(X, y)",Machine Learning,1
creating a responsive layout,"javascript, node, react, backend",<div>Hello</div>,Databases,0
making something idk,"code, computer",echo 'hi';,Web Development,0
handling data storage,"rows, columns, table",INSERT INTO users VALUES ('John');,Databases,1
working on something,"model, ai, html",function App() { return <h1>Hi</h1>; },Machine Learning,0
,"training, model, prediction, dataset",,Machine Learning,1
coding lang eh,"frontend, javascript, table",INSERT INTO users VALUES ('John');,Web Development,0
building a website,"react, html, query",UPDATE users SET name='Alex';,Web Development,0
working on predictions,"dataset, accuracy, model",loss.backward(),Machine Learning,1
testing a neural network,"training, dataset, ai, neural network",import sklearn,Machine Learning,1
trying to fix bugs,"javascript, node, react",function App() { return <h1>Hi</h1>; },Web Development,1
training a model,"training, accuracy, prediction, dataset",,Machine Learning,1
idk doing coding,"api, node, accuracy",import sklearn,Web Development,0
writing SQL queries,"sql, table",SELECT * FROM users;,Databases,1
training a model,"prediction, dataset, table",CREATE TABLE users(id INT);,Machine Learning,0
writing SQL queries,"sql, index",DELETE FROM users WHERE id=1;,Databases,1
idk doing coding,"table, query, index, rows",CREATE TABLE users(id INT);,Databases,1
debugging rn,"api, react",console.log('hello'),Web Development,1
making a login system,"frontend, html, query",SELECT * FROM users;,Web Development,0
debugging rn,"sql, columns",DELETE FROM users WHERE id=1;,Databases,1
creating a responsive layout,"react, api, query",UPDATE users SET name='Alex';,Web Development,0
managing tables,"sql, database",INSERT INTO users VALUES ('John');,Web Development,0
making something idk,"sql, table, ai",import sklearn,Databases,0
managing tables,"database, rows",CREATE TABLE users(id INT);,Databases,1
,"rows, database, index, query",UPDATE users SET name='Alex';,Web Development,0
training a model,"ai, accuracy, prediction, neural network",loss.backward(),Machine Learning,1
improving accuracy,"dataset, model, api",document.getElementById('app'),Machine Learning,0
,"database, sql, table, query",INSERT INTO users VALUES ('John');,Machine Learning,0
working on predictions,"ai, model, training, neural network",predict(X_test),Machine Learning,1
testing a neural network,"ai, neural network, training",predict(X_test),Web Development,0
uh fixing stuff,"code, programming",console.log('test'),Web Development,0
fetching records,"rows, table, node",document.getElementById('app'),Databases,0
coding lang eh,"typing, computer",int a = 5;,Web Development,0
testing a neural network,"dataset, ai, query",SELECT * FROM users;,Machine Learning,0
analyzing data,"ai, neural network, training","model.fit(X, y)",Machine Learning,1
coding lang eh,"neural network, prediction, dataset",import sklearn,Machine Learning,1
fetching records,"index, rows, sql",UPDATE users SET name='Alex';,Databases,1
